"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day"
"VNP46A4.A2012001.h02v04.001.2021124114559.h5","2021-05-04 17:49",633656,1620150573,607399472,"2a749fd135674861cb210b453f78d276","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v04.001.2021124114559.h5",2012,"001"
"VNP46A4.A2012001.h02v05.001.2021124114906.h5","2021-05-04 17:47",633608,1620150453,4179354590,"e38530321a6fd511e17ada1757121568","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v05.001.2021124114906.h5",2012,"001"
"VNP46A4.A2012001.h02v06.001.2021124114543.h5","2021-05-04 20:26",1023749,1620159992,1398366418,"e213f5a78be1a7c595d02e0fa50364a8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v06.001.2021124114543.h5",2012,"001"
"VNP46A4.A2012001.h02v07.001.2021124114404.h5","2021-05-04 20:44",938935,1620161042,3739456113,"66fd79e4d100edcb75fea13d6d399c46","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v07.001.2021124114404.h5",2012,"001"
"VNP46A4.A2012001.h02v08.001.2021124114820.h5","2021-05-04 20:37",671080,1620160652,1191853352,"6c14a25f970825dae824b582c4f1b97d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v08.001.2021124114820.h5",2012,"001"
"VNP46A4.A2012001.h02v09.001.2021124114708.h5","2021-05-04 18:07",651857,1620151623,278081489,"f53b9da4a20b111ecf7952e2096fb7c9","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v09.001.2021124114708.h5",2012,"001"
"VNP46A4.A2012001.h02v10.001.2021124114516.h5","2021-05-04 20:38",709478,1620160682,3153538052,"2acb13656cf34717b686da68bdf8cf37","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v10.001.2021124114516.h5",2012,"001"
"VNP46A4.A2012001.h02v11.001.2021124114509.h5","2021-05-04 17:43",656674,1620150183,1546913930,"3b671cfeb495b59988f1a7b37208fed5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v11.001.2021124114509.h5",2012,"001"
"VNP46A4.A2012001.h02v12.001.2021124114432.h5","2021-05-04 17:34",633744,1620149673,3988118781,"941517066ce8c53d95b690baa0bdce78","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v12.001.2021124114432.h5",2012,"001"
"VNP46A4.A2012001.h02v13.001.2021124114517.h5","2021-05-04 17:39",633744,1620149973,3083302736,"8bcdf708d3a4b5adaae05c0e18320649","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v13.001.2021124114517.h5",2012,"001"
"VNP46A4.A2012001.h02v14.001.2021124114218.h5","2021-05-04 17:37",633832,1620149853,788721812,"8e84894411444086e992fc926ffab9b9","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v14.001.2021124114218.h5",2012,"001"
"VNP46A4.A2012001.h02v15.001.2021124114026.h5","2021-05-04 17:37",633928,1620149853,22426219,"4391b7b18d35fe943f321a3eceb8ee84","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v15.001.2021124114026.h5",2012,"001"
"VNP46A4.A2012001.h02v16.001.2022263123439.h5","2022-09-20 16:45",3998880,1663692338,1095844921,"fe313d33b950ba7ef99c3d1250204f46","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v16.001.2022263123439.h5",2012,"001"
"VNP46A4.A2012001.h02v17.001.2022263123413.h5","2022-09-20 13:09",2620490,1663679341,3796602558,"623482d126c46a2e488f6144c30bbc98","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v17.001.2022263123413.h5",2012,"001"
"VNP46A4.A2012001.h03v00.001.2021124113751.h5","2021-05-04 12:05",617816,1620129940,2830825328,"70a4d10f50f0dc40fc2b3b3cf37d5e9e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v00.001.2021124113751.h5",2012,"001"
"VNP46A4.A2012001.h03v01.001.2021124113903.h5","2021-05-04 13:37",1350953,1620135436,3582027248,"26c290915344649fad3a460261606adf","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v01.001.2021124113903.h5",2012,"001"
"VNP46A4.A2012001.h03v02.001.2021124114014.h5","2021-05-04 19:14",38246840,1620155673,2452111437,"cc6647781cf71db7dcfe06da45c9a041","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v02.001.2021124114014.h5",2012,"001"
"VNP46A4.A2012001.h03v03.001.2021124114214.h5","2021-05-04 20:21",976677,1620159662,2902604597,"860effd84044ae8e44621da9533848fd","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v03.001.2021124114214.h5",2012,"001"
"VNP46A4.A2012001.h03v04.001.2021124114615.h5","2021-05-04 17:25",633656,1620149133,2849038170,"d23555014a8e8099979bfad2d270f588","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v04.001.2021124114615.h5",2012,"001"
"VNP46A4.A2012001.h03v05.001.2021124114431.h5","2021-05-04 18:19",633656,1620152343,1180075334,"1cce68759dadb1d35e6d057b9ac7be40","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v05.001.2021124114431.h5",2012,"001"
"VNP46A4.A2012001.h03v06.001.2021124114703.h5","2021-05-04 17:33",633608,1620149583,2352410789,"84d36eb5ad2ecffc38ccf739e8a76fb1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v06.001.2021124114703.h5",2012,"001"
"VNP46A4.A2012001.h03v07.001.2021124114659.h5","2021-05-04 17:35",633568,1620149733,2751476502,"f5334c53be60b5a8fdda3e27c53d6b70","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v07.001.2021124114659.h5",2012,"001"
"VNP46A4.A2012001.h03v08.001.2021124114811.h5","2021-05-04 17:24",633608,1620149073,2300932037,"5a465b38af0c8f56c432546dd68bec88","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v08.001.2021124114811.h5",2012,"001"
"VNP46A4.A2012001.h03v09.001.2021124114935.h5","2021-05-04 21:44",669759,1620164642,2693372532,"d4b9db735bd3b86b006d43e134f40a94","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v09.001.2021124114935.h5",2012,"001"
"VNP46A4.A2012001.h03v10.001.2021124123152.h5","2021-05-04 21:24",1058119,1620163472,3889165171,"2972775a288ea19c22e911768a0fe16e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v10.001.2021124123152.h5",2012,"001"
"VNP46A4.A2012001.h03v11.001.2021124120147.h5","2021-05-04 20:37",661156,1620160652,588318051,"230417c32250a8884dcaf56866387853","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v11.001.2021124120147.h5",2012,"001"
"VNP46A4.A2012001.h03v12.001.2021125045253.h5","2021-05-05 10:34",633696,1620210889,3333970792,"ec98f7c3f47106b8bb65bee9605f6ab5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v12.001.2021125045253.h5",2012,"001"
"VNP46A4.A2012001.h03v13.001.2021124175453.h5","2021-05-04 23:37",633832,1620171453,339226119,"220de497150d107c1f015a775c29aa68","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v13.001.2021124175453.h5",2012,"001"
"VNP46A4.A2012001.h03v14.001.2021124181149.h5","2021-05-04 23:52",633832,1620172352,3770021305,"2820905b5d525f81a9f3c6c89b9ba439","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v14.001.2021124181149.h5",2012,"001"
"VNP46A4.A2012001.h03v15.001.2021125082328.h5","2021-05-05 13:52",633928,1620222773,595222578,"5724492eb5728c2100056b5c22b39310","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v15.001.2021125082328.h5",2012,"001"
"VNP46A4.A2012001.h03v16.001.2022263123416.h5","2022-09-20 15:52",8126343,1663689158,1228362023,"d0dec4d4885693fafbc5c260504bc258","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v16.001.2022263123416.h5",2012,"001"
"VNP46A4.A2012001.h03v17.001.2022263123407.h5","2022-09-20 12:57",2549367,1663678651,3670743161,"9e258b8f12db63f620ac0d1daf72d5b4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h03v17.001.2022263123407.h5",2012,"001"
"VNP46A4.A2012001.h04v00.001.2021124113818.h5","2021-05-04 12:10",617816,1620130240,2963058163,"b1317c5b98b631e76dfe315a0e028abd","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v00.001.2021124113818.h5",2012,"001"
"VNP46A4.A2012001.h04v01.001.2021124113953.h5","2021-05-04 13:40",680192,1620135643,1845453470,"b0f4c294f9e5ed300632fb84e3cee850","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v01.001.2021124113953.h5",2012,"001"
"VNP46A4.A2012001.h04v02.001.2021124174325.h5","2021-05-05 00:53",37457783,1620176033,386086677,"b92a93368170169325bd8364b2efc728","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v02.001.2021124174325.h5",2012,"001"
"VNP46A4.A2012001.h04v03.001.2021124120330.h5","2021-05-04 21:59",14057713,1620165542,558977880,"fdde9b0f0bb805d1b7eb733d51943302","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v03.001.2021124120330.h5",2012,"001"
"VNP46A4.A2012001.h04v04.001.2021124174431.h5","2021-05-04 23:09",633696,1620169742,2983672442,"91f555f09e42eee9785193ab1a0ab001","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v04.001.2021124174431.h5",2012,"001"
"VNP46A4.A2012001.h04v05.001.2021124120126.h5","2021-05-04 17:45",633656,1620150334,1928874971,"c444f71aa8f73edf9cbf711a98d0ae93","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v05.001.2021124120126.h5",2012,"001"
"VNP46A4.A2012001.h04v06.001.2021124180306.h5","2021-05-04 23:40",633656,1620171602,3668204825,"120e21c877a9f7f9598134006905b344","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v06.001.2021124180306.h5",2012,"001"
"VNP46A4.A2012001.h04v07.001.2021124181346.h5","2021-05-04 23:39",633656,1620171572,3542615299,"af420f238d6160b1f7b802847df1d68c","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v07.001.2021124181346.h5",2012,"001"
"VNP46A4.A2012001.h04v08.001.2021124174613.h5","2021-05-04 23:16",633656,1620170162,2834920153,"4b3a2c524ac0dde44aa97aac6dfc3e84","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v08.001.2021124174613.h5",2012,"001"
"VNP46A4.A2012001.h04v09.001.2021124174850.h5","2021-05-05 02:13",670330,1620180833,901829114,"c143b290886845208590f8221b14b138","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v09.001.2021124174850.h5",2012,"001"
"VNP46A4.A2012001.h04v10.001.2021124175351.h5","2021-05-05 02:14",662696,1620180863,1774838246,"78507c85985fc2ad6971def89e551f8f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v10.001.2021124175351.h5",2012,"001"
"VNP46A4.A2012001.h04v11.001.2021124180253.h5","2021-05-05 02:32",693618,1620181973,1683739525,"c06986d48db079cb3ef1bae6875dc3d6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v11.001.2021124180253.h5",2012,"001"
"VNP46A4.A2012001.h04v12.001.2021124180711.h5","2021-05-04 23:35",633656,1620171302,1711023345,"7585f902d5450c37c96dcfd27385b14a","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v12.001.2021124180711.h5",2012,"001"
"VNP46A4.A2012001.h04v13.001.2021124123142.h5","2021-05-04 18:21",633792,1620152463,2428263708,"c718926fd75fafa8724ce2c9ffc1e146","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v13.001.2021124123142.h5",2012,"001"
"VNP46A4.A2012001.h04v14.001.2021124114747.h5","2021-05-04 18:59",633832,1620154773,1722912586,"a93a45ccb05ec03c6fe9dd58686deeb5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h04v14.001.2021124114747.h5",2012,"001"
